| 2012/08/28 11:54:30 AM |          0 | 31.18 |         +0.01 |        13 |       93 |        23 |        35 |          1 |          6 |        64.0 |                     none |                                            - |        none |         none |               none |    54157.55 |
| 2012/08/28 11:56:30 AM |          1 |  31.2 |         +0.02 |        10 |       97 |        32 |        36 |          1 |          5 |        66.0 |                     none |                                            - |        none |         none |               none |    49119.75 |
| 2012/08/28 11:58:30 AM |          8 | 31.34 |         +0.09 |         9 |      114 |        86 |        38 |         32 |          7 |        76.0 |                     none |                                            - |        none |         none |               none |     59012.9 |
| 2012/08/28 12:00:30 PM |         11 | 31.47 |         +0.07 |        17 |      130 |        88 |        39 |         44 |         11 |        84.0 |                     none |                                            - |        none |         none |               none |     59012.9 |
| 2012/08/28 12:02:30 PM |          0 | 31.49 |         +0.02 |        29 |      109 |        54 |        39 |         28 |         17 |        74.0 |                     none |                                            - |        none |         none |               none |    63955.56 |
| 2012/08/28 12:04:30 PM |          6 | 31.44 |         -0.07 |        34 |       79 |        34 |        35 |          8 |         37 |        57.0 |                     none |                                            - |        none |         none |               none |    63915.48 |
| 2012/08/28 12:06:30 PM |          0 | 31.45 |         +0.01 |        31 |       91 |        26 |        38 |         -1 |         41 |        64.0 |                     none |                                            - |        none |         none |               none |     58925.7 |
| 2012/08/28 12:08:30 PM |          0 | 31.42 |         -0.03 |        28 |       80 |        19 |        36 |         -6 |         42 |        58.0 |                     none |                                            - |        none |         none |               none |     58925.7 |
| 2012/08/28 12:10:30 PM |          0 | 31.42 |           0.0 |        26 |       73 |        16 |        35 |         -2 |         33 |        54.0 |                     none |                                            - |        none |         none |               none |    48927.69 |
| 2012/08/28 12:12:30 PM |          0 | 31.42 |           0.0 |        26 |       75 |        15 |        36 |         -2 |         30 |        55.0 |                     none |                                            - |        none |         none |               none |    58852.36 |
| 2012/08/28 12:14:30 PM |          0 | 31.41 |         -0.01 |        26 |       71 |        12 |        36 |        -11 |         27 |        53.0 |                     none |                                            - |        none |         none |               none |    58854.83 |
| 2012/08/28 12:16:30 PM |          0 | 31.51 |         +0.05 |        27 |       86 |        23 |        38 |         -7 |         18 |        62.0 |                     none |                                            - |        none |         none |               none |     63845.3 |
